id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
2260992,332275,1093,490.0,1.0,1.0,,,,,
2260994,332276,1004,1.02,1.0,1.0,,,,,
2260995,332276,1051,88.8,1.0,1.0,,,,,
2261005,332280,1093,474.0,1.0,1.0,,,,,
2261008,332281,1051,89.8,1.0,1.0,,,,,
2261007,332281,1004,0.65,1.0,1.0,,,,,
2261046,332282,1051,87.4,36.0,1.0,84.9,89.8,87.5,,2009.0
2261047,332282,1004,1.48,36.0,1.0,0.63,2.82,1.44,,2009.0
2261075,332282,1003,1.41,,49.0,0.88,1.75,1.44,,
2261048,332282,1005,8.05,,49.0,,,,,
2261071,332282,1093,419.0,36.0,1.0,336.0,590.0,397.0,,2009.0
2261107,332287,1093,681.0,1.0,1.0,,,,,
2261152,332289,1004,4.66,1.0,1.0,,,,,
2261153,332289,1051,78.0,1.0,1.0,,,,,
2261162,332299,1093,997.0,1.0,1.0,,,,,
2261208,332301,1051,76.6,1.0,1.0,,,,,
2261207,332301,1004,3.24,1.0,1.0,,,,,
2261217,332311,1093,959.0,1.0,1.0,,,,,
2261262,332313,1004,3.62,1.0,1.0,,,,,
2261263,332313,1051,76.5,1.0,1.0,,,,,
2261272,332321,1093,1290.0,1.0,1.0,,,,,
2261317,332323,1004,3.99,1.0,1.0,,,,,
2261318,332323,1051,75.4,1.0,1.0,,,,,
2261327,332333,1093,1080.0,1.0,1.0,,,,,
2261373,332335,1051,76.6,1.0,1.0,,,,,
2261372,332335,1004,3.08,1.0,1.0,,,,,
2261382,332345,1093,1240.0,1.0,1.0,,,,,
2261427,332347,1004,3.07,1.0,1.0,,,,,
2261428,332347,1051,76.0,1.0,1.0,,,,,
2261437,332352,1093,1320.0,1.0,1.0,,,,,
2261483,332354,1051,74.9,1.0,1.0,,,,,
2261482,332354,1004,3.92,1.0,1.0,,,,,
2261492,332362,1093,1320.0,1.0,1.0,,,,,
2261537,332364,1004,3.02,1.0,1.0,,,,,
2261538,332364,1051,75.6,1.0,1.0,,,,,
2261547,332370,1093,647.0,1.0,1.0,,,,,
2261592,332372,1004,4.44,1.0,1.0,,,,,
2261593,332372,1051,74.4,1.0,1.0,,,,,
2261602,332382,1093,884.0,1.0,1.0,,,,,
2261648,332384,1051,74.9,1.0,1.0,,,,,
2261647,332384,1004,4.38,1.0,1.0,,,,,
2261657,332394,1093,1030.0,1.0,1.0,,,,,
2261702,332396,1004,3.61,1.0,1.0,,,,,
2261703,332396,1051,73.8,1.0,1.0,,,,,
2261744,332397,1051,75.7,11.0,1.0,73.8,78.0,75.6,,2015.0
2261741,332397,1004,3.73,11.0,1.0,3.02,4.66,3.62,,2015.0
2261732,332397,1003,16.7,,49.0,15.1,18.1,16.8,,
2261742,332397,1005,0.27,,49.0,,,,,
2261729,332397,1093,1040.0,11.0,1.0,647.0,1320.0,1030.0,,2015.0
2261783,332401,1004,0.15,1.0,1.0,,,,,
2261785,332401,1051,84.0,1.0,1.0,,,,,
2261804,332409,1093,2.0,1.0,1.0,,,,,
2261817,332418,1051,84.4,1.0,1.0,,,,,
2261838,332421,1004,0.07,1.0,1.0,,,,,
2261840,332421,1051,84.0,1.0,1.0,,,,,
2261859,332434,1093,2.0,1.0,1.0,,,,,
2261876,332443,1051,83.8,1.0,1.0,,,,,
2261908,332449,1051,83.6,1.0,1.0,,,,,
2261906,332449,1004,0.07,1.0,1.0,,,,,
2261926,332456,1093,2.0,1.0,1.0,,,,,
2261940,332465,1051,82.8,1.0,1.0,,,,,
2261969,332470,1004,0.07,1.0,1.0,,,,,
2261971,332470,1051,82.9,1.0,1.0,,,,,
2261974,332472,1004,0.07,1.0,1.0,,,,,
2261976,332472,1051,84.0,1.0,1.0,,,,,
2261986,332476,1004,0.11,1.0,1.0,,,,,
2261988,332476,1051,82.9,1.0,1.0,,,,,
2262011,332485,1051,83.8,1.0,1.0,,,,,
2262009,332485,1004,0.3,1.0,1.0,,,,,
2262021,332491,1093,2.0,1.0,1.0,,,,,
2262035,332500,1051,83.9,1.0,1.0,,,,,
2262056,332504,1051,84.2,1.0,1.0,,,,,
2262057,332504,1004,0.2,1.0,1.0,,,,,
2262081,332518,1093,2.0,1.0,1.0,,,,,
2262095,332527,1051,82.3,1.0,1.0,,,,,
2262125,332533,1004,0.2,1.0,1.0,,,,,
2262127,332533,1051,83.2,1.0,1.0,,,,,
2262145,332539,1093,2.0,1.0,1.0,,,,,
2262159,332548,1051,83.1,1.0,1.0,,,,,
2262191,332554,1051,82.7,1.0,1.0,,,,,
2262189,332554,1004,0.1,1.0,1.0,,,,,
2262193,332556,1004,0.1,1.0,1.0,,,,,
2262195,332556,1051,81.6,1.0,1.0,,,,,
2262206,332560,1004,0.2,1.0,1.0,,,,,
2262208,332560,1051,83.9,1.0,1.0,,,,,
2262226,332570,1051,83.6,1.0,1.0,,,,,
2262228,332570,1004,0.13,1.0,1.0,,,,,
2262235,332571,1093,9.0,1.0,1.0,,,,,
2262261,332586,1051,85.1,1.0,1.0,,,,,
2262263,332586,1004,0.11,1.0,1.0,,,,,
2262269,332587,1093,14.0,1.0,1.0,,,,,
2262327,332597,1051,84.1,8.0,1.0,83.6,85.1,84.0,,2000.0
2262322,332597,1005,15.1,,49.0,,,,,
2262321,332597,1004,0.16,6.0,1.0,0.07,0.3,0.14,,2000.0
2262288,332597,1003,0.38,,49.0,0.22,0.54,0.38,,
2262298,332597,1093,7.0,4.0,1.0,2.0,14.0,6.0,,2000.0
2262351,332601,1051,74.8,1.0,1.0,,,,,
2262354,332602,1093,1520.0,1.0,1.0,,,,,
2262361,332603,1004,14.5,1.0,1.0,,,,,
2262365,332610,1051,76.6,1.0,1.0,,,,,
2262373,332611,1093,1540.0,1.0,1.0,,,,,
2262375,332612,1004,13.4,1.0,1.0,,,,,
2262420,332620,1051,76.2,1.0,1.0,,,,,
2262428,332621,1093,1650.0,1.0,1.0,,,,,
2262430,332622,1004,12.5,1.0,1.0,,,,,
2262433,332630,1051,73.3,1.0,1.0,,,,,
2262440,332631,1093,2200.0,1.0,1.0,,,,,
2262443,332632,1004,14.7,1.0,1.0,,,,,
2262446,332640,1051,77.6,1.0,1.0,,,,,
2262449,332641,1093,1760.0,1.0,1.0,,,,,
2262456,332642,1004,12.2,1.0,1.0,,,,,
