simplified_description,Protein (g),Total Fat (g),Carbs (g),Water (g),Sodium (mg),Sugar (g)
"Restaurant, Chinese, fried rice",3.84,3.19,32.5,59.3,361.0,
"Restaurant, Chinese, sweet and sour pork",8.88,13.6,25.5,50.8,304.0,
"Restaurant, Latino, pupusas con frijoles pupusas",5.59,9.01,31.5,52.2,305.0,
"Restaurant, Latino, tamale",7.38,9.04,15.8,66.0,473.0,
"Rice, brown, long grain",7.25305,3.306,76.68795,11.47,0.0,
"Rice, white, long grain",7.03885,1.033,80.31315,11.19,0.4625,
"Romaine Lettuce, Pass 2, Region 1 - Proximates - NFY0105FO",,0.28,,95.3,,
"Romaine Lettuce, Pass 2, Region 2 - Proximates - NFY0105GK",,0.21,,94.4,,
"Romaine Lettuce, Pass 2, Region 3 - Proximates - NFY0105HB",,0.16,,95.0,,
"Romaine Lettuce, Pass 2, Region 4 - Proximates - NFY0105I4",,0.26,,95.5,,
"Romaine Lettuce, Region 1, n/a",,0.31,,94.3,,
"Romaine Lettuce, Region 2, n/a",,0.31,,94.8,,
"Romaine Lettuce, Region 3, n/a",,0.23,,94.3,,
"Romaine Lettuce, Region 4, n/a",,0.34,,94.4,,
"SOY MILK, UNSWEETENED, PLAIN",,2.125,,92.398125,34.28346153846154,
"SPINACH, BABY",,0.61875,,92.52250000000001,111.425,
"SPINACH, REGULAR (MATURE)",,0.604375,,92.4334375,106.64375,
Salsa,,0.20833333333333334,,89.46666666666665,656.25,
"Salt, Iodized",,,,0.479375,,
"Salt, Not Iodized",,,,0.172,,
"Salt, iodized - NFY121S6F",,,,0.09,,
"Salt, table, iodized",,,,0.42,38700.0,
Salt; iodized,,,,,38662.5,
"Sauce, pasta, spaghetti/marinara",1.41,1.48,8.05,87.4,419.0,
"Sauce, salsa, ready-to-serve",1.44,0.19,6.74,89.3,656.0,
"Sausage, Italian, pork",18.2,26.2,2.15,50.9,766.0,
"Sausage, breakfast sausage, beef",13.3,28.7,3.37,51.7,866.0,
"Sausage, pork, chorizo",19.3,28.1,2.63,46.3,983.0,
"Sausage, turkey, breakfast links",16.7,10.4,0.93,69.6,599.0,
"Seeds, pumpkin seeds (pepitas), raw",29.9079,40.03,18.6751,6.621,0.0,
"Seeds, sunflower seed kernels, dry roasted",21.0,56.1,17.1,1.5,532.0,
"Seeds, sunflower seed, kernel",18.8733,48.44,24.5007,4.873,0.0,
"Sesame butter, creamy",19.7054,62.4,14.179,0.6056,63.63,
"Soy milk, sweetened, plain",2.776875,1.957,2.996125,91.52,39.44,
"Soy milk, unsweetened, plain",3.546875,2.125,1.293125,92.4,34.28,
"Spinach, baby",2.851875,0.6188,2.406325,92.52,111.4,
"Spinach, mature",2.90625,0.6044,2.64135,92.43,106.6,
"Squash, acorn, raw",,0.1825,,87.21625,0.0,
"Squash, butternut, raw",,0.1675,,87.32125,0.0,
"Squash, summer, green",0.984375,0.205,,,0.0,
"Squash, summer, yellow",0.890625,0.135,,,0.0,
"Squash, winter, acorn",1.25,0.1825,10.48,87.22,0.0,
"Squash, winter, butternut",1.14875,0.1675,10.50745,87.32,0.0,
"Squash, yellow, raw",,0.135,,,0.0,
"Squash, zucchini, raw",,0.205,,,0.0,
"Strawberries, Fresh, Pass 2",,0.21,,90.6,4.75,
"Strawberries, fresh, Region 1",,0.31,,91.0,13.0,
"Strawberries, fresh, Region 2",,0.13,,91.6,12.0,
"Strawberries, fresh, Region 3",,0.25,,91.4,24.0,
"Strawberries, fresh, Region 4",,0.22,,92.2,16.0,
"Strawberries, raw",0.6403125000000001,0.22,7.7971875,90.965,5.0,
"Sugars, granulated",0.0,0.32,99.6,0.02,1.0,
Sunflower seeds dry roasted salted,,56.099999999999994,,1.495,532.1666666666666,
"Sweet Potatoes, Orange Flesh, without skin",,0.375,,79.535,0.0,
"Sweet potatoes, orange flesh, without skin",1.578125,0.375,17.327875,79.54,0.0,
"TOMATO JUICE, SHELF STABLE, FROM CONCENTRATE",,0.2875,,93.59875,235.5625,
"TOMATOES, GRAPE",,0.6283333333333333,,92.47222222222223,5.833333333333333,
"TOMATOES, ROMA",,0.425,,94.73202857142857,0.0,
"TURKEY BREAKFAST SAUSAGE, BUTTERBALL",,11.9,,67.5,480.0,
"TURKEY BREAKFAST SAUSAGE, HILLSHIRE SMOKED",,9.37,,67.6,914.0,
"TURKEY BREAKFAST SAUSAGE, HONEYSUCKLE FRESH",,11.2,,70.2,527.0,
"TURKEY BREAKFAST SAUSAGE, HONEYSUCKLE WHITE",,9.936666666666667,,71.65,494.5,
"TURKEY BREAKFAST SAUSAGE, JENNIE O - MILD",,9.81,,71.8,624.5,
"TURKEY BREAKFAST SAUSAGE, JIMMY DEAN",,11.0,,64.7,630.0,
"Tomato juice, with added ingredients, from concentrate",0.859375,0.2875,4.320625,93.6,235.6,
"Tomato, paste, canned",4.234375,0.7325,20.188125,71.93,61.15,
"Tomato, puree, canned",1.578125,0.265,8.036875,89.11,29.36,
"Tomato, roma",0.695625,0.425,3.837475,94.73,0.0,
"Tomato, sauce, canned",1.351875,0.3825,6.331625,90.21,416.9,
"Tomatoes, canned",,0.7416666666666667,,94.41111111111111,129.5,
"Tomatoes, canned, red",0.84,0.5,3.32,94.6,125.0,
"Tomatoes, crushed, canned",1.4375,0.3975,7.137,89.94,139.8,
"Tomatoes, grape, raw",0.83,0.63,5.51,92.5,6.0,
"Tomatoes, whole, canned",0.8675,0.2063,4.2874,93.93,111.5,
"Total Fat, Ground turkey, 93% lean",,10.37186046511628,,,,
"Total lipid, Sugar, Granulated",,0.0,,,,
Tuna; chunk light; canned in water; drained solids,,0.8833333333333333,,79.85,185.05555555555554,
"Turkey, ground, 93% lean",27.1,9.993,0.0,70.535,82.14,
"Turkey, ground, 93% lean/ 7% fat",17.34375,9.591,0.0,72.89,80.18,
Whole eggs,,10.290714285714285,,75.34285714285714,,
"Whole eggs, dried",,39.752941176470586,,4.07,504.22222222222223,
"Yogurt, Greek, plain",9.539439999999999,2.382,4.19701,83.16,34.879999999999995,
"Yogurt, Greek, strawberry",8.06,0.15,12.2,79.0,32.0,
"Yogurt, Greek, whole milk",,4.394375,,81.315,33.75625,
"Yogurt, plain, nonfat",4.22675,0.0875,8.07675,86.57,51.48,
"Yogurt, plain, whole milk",3.824172,4.484,5.574928,85.27,41.78,
"Yogurt, whole milk, plain",,4.484375,,85.26625,41.78125,
"almond butter, creamy",,53.04375,,1.75125,0.99625,
"almond milk, refrigerated, unsweetened",,1.5575,,96.52125,59.220000000000006,
"amaranth, flour",,6.23625,,9.48625,0.0,
"applesauce, unsweetened, with vit C added",,0.1625,,87.103125,0.5037499999999999,
"barley, flour",,2.45,,9.89875,20.3275,
"beans, black, canned",,1.2725,,70.78999999999999,217.925,
"beans, blackeye pea, canned",,1.2962500000000001,,71.62125,226.6875,
"beans, cannellini, canned",,1.16875,,71.52625,164.025,
"beans, cannellini, dry",,2.19875,,12.30125,0.0,
"beans, chick peas/garbanzos, canned",,3.09625,,68.58500000000001,201.7,
"beans, chickpeas/garbanzos, dry",,6.27375,,8.77375,8.77875,
"beans, great northern, canned",,1.2662499999999999,,71.1625,223.1375,
"beans, kidney, dark red",,1.25625,,68.81875,172.3375,
"beans, kidney, light red",,1.29875,,68.92875,158.4875,
"beans, navy, canned",,1.3975,,70.95875,190.125,
"beans, pinto, canned",,1.26625,,71.32625,201.55,
"beef, chuck, roast",,17.79875,,63.43375,48.4375,
"beef, flank steak",,9.39875,,69.775,51.3,
"beef, ribeye steak, boneless",,20.035,,60.63,42.5375,
"beef, top round, boneless",,5.7025,,70.88374999999999,45.5375,
"blackeye pea, dry",,2.41875,,11.0075,3.4575,
"blueberries, fresh, raw",,0.30625,,84.19375,0.0,
"brazil nuts, raw",,57.43125,,2.265,0.0,
"brown rice, long grain, unenriched",,3.30625,,11.473749999999999,0.0,
"buckwheat, flour",,2.48375,,12.04375,0.0,
"buckwheat, whole grain",,3.03875,,12.9525,0.0,
"cabbage, green, raw",,0.22749999999999998,,91.865,16.095,
"cabbage, red, raw",,0.21375,,91.14125,11.72125,
"carrots, baby, raw",,0.1375,,89.30375000000001,62.6625,
"carrots, mature, raw",,0.350625,,87.716875,86.65,
"cashews, raw",,38.85625,,4.81125,4.75875,
cassava flour,,0.49375,,10.555,13.08375,
"catfish, farm raised, raw",,7.3075,,75.8875,60.5125,
"celery, raw",,0.1625,,95.2025,97.2125,
chestnut flour,,4.63625,,7.32625,0.0,
"chicken, breast, boneless",,1.93375,,74.775,65.75,
"chicken, thighs, boneless",,7.91625,,72.91625,62.325,
coconut flour,,15.28125,,4.69,46.9375,
"cod, Atlantic, wild caught",,0.6675,,82.86375,298.825,
cotija (solid),,27.244285714285716,,39.99571428571429,1625.0,
"cottage cheese, 4% milkfat, large curd",,4.15,,77.95500000000001,338.0,
"cottage cheese, 4% milkfat, small curd",,4.24375,,78.13125,352.6875,
"crab, blue swimming, lump",,0.8075,,78.8775,331.3125,
"cream cheese, block, full fat",,33.49375,,54.7225,367.75,
"cucumber, with skin, raw",,0.1775,,95.865,1.5150000000000001,
"flour, 00",,1.52,,12.170625,0.0,
"flour, semolina, fine",,1.8375,,12.109125,0.42625,
"flour, spelt, whole grain",,2.5425,,10.716625,0.0,
fresco (solid),,23.35625,,51.38125,626.5,
"grapes, green, seedless",,0.2325,,79.8775,3.1712499999999997,
"grapes, red, seedless",,0.16375,,78.1925,6.999375,
ground flaxseed meal,,37.28,,6.804375,36.737500000000004,
"hazelnuts, raw",,53.49,,4.30875,0.0,
heavy cream,,35.5625,,58.1325,20.6125,
"lentils, brown, dry",,1.98,,9.2,0.0,
"lentils, dry",,1.917142857142857,,9.487142857142857,0.0,
"macadamia nuts, raw",,64.9325,,1.82875,0.0,
"millet, whole grain",,4.19375,,10.20625,0.0,
"monterey jack cheese, block",,32.63,,39.18,662.1875,
"mushrooms, crimini",,0.19666666666666666,,91.815,4.571666666666666,
"mushrooms, enoki",,0.245,,88.28666666666668,0.4166666666666667,
"mushrooms, hon-shimiji (beech), white",,0.44937499999999997,,89.85249999999999,0.8912500000000001,
"mushrooms, king oyster",,0.3075,,88.13187500000001,0.77125,
"mushrooms, maitake",,0.265,,90.368125,0.345,
"mushrooms, pioppini",,0.24,,89.561875,0.0,
"mushrooms, portabella",,0.3116666666666667,,91.4775,5.3116666666666665,
"oat milk, refrigerated, unsweetened",,2.7487500000000002,,90.5625,41.984375,
oaxaca ,,22.0975,,49.801249999999996,734.1875,
"peanut butter, creamy",,49.43375,,1.10375,220.6875,
"peanuts, raw",,43.276250000000005,,4.81625,1.4925000000000002,
"peas, green, sweet",,1.1525,,80.53375,207.4,
"peppers, bell, green",,0.10625,,94.1175,0.0,
"peppers, bell, orange",,0.15555555555555556,,91.87722222222222,0.0,
"peppers, bell, red",,0.12555555555555553,,91.93,0.0,
"peppers, bell, yellow",,0.1211111111111111,,92.08333333333333,0.0,
"pistachio nuts, raw",,45.01875,,3.95,0.0,
"pork, ground, raw",,17.48857142857143,,63.87428571428571,53.628571428571426,
"pork, loin, boneless",,9.46875,,68.82375,40.2,
"pork, tenderloin, boneless",,3.89875,,73.925,41.3875,
"provolone cheese, sliced, non-smoked",,28.16333333333333,,42.245,586.0,
"provolone cheese, sliced, smoked",,28.009999999999998,,42.64,645.5,
"pumpkin seeds (pepitas), raw",,40.03375,,6.62125,0.0,
"quinoa, flour",,6.60125,,9.95125,6.321249999999999,
"raspberries, fresh, raw",,0.1875,,85.55,0.0,
"rye, flour",,1.9075,,11.1275,0.0,
"salmon, Atlantic, farm raised",,13.10875,,65.84,49.4875,
"salmon, sockeye, wild caught",,4.93625,,72.50625,53.3,
"sesame seed butter (tahini), creamy",,62.3975,,0.605625,63.625,
"shrimp, farm raised, raw",,0.80125,,81.28375,474.9375,
"sorghum, flour",,3.58625,,9.41375,0.0,
"sour cream, full fat",,17.985,,72.58,50.0375,
"soy milk, refrigerated, sweetened",,1.957142857142857,,91.52142857142857,39.44285714285714,
"strawberries, fresh, raw",,0.22,,90.82875,0.0,
"sunflower seed kernels, raw",,48.43875,,4.8725000000000005,0.0,
"tilapia, farm raised, raw",,2.47875,,78.28125,93.6625,
"tomato, paste, canned",,0.7325,,71.9275,61.15,
"tomato, puree, canned",,0.265,,89.10875,29.36,
"tomato, sauce, canned",,0.3825,,90.2075,416.875,
"tomatoes, crushed, canned",,0.3975,,89.94375,139.8,
"tomatoes, whole, canned",,0.20625,,93.9325,111.5,
"white rice, long grain, unenriched",,1.033125,,11.1875,0.4625,
"yogurt, plain, nonfat",,0.0875,,86.5725,51.475,
