fdc_id,description
321822,"broccoli, yes, riboflavin - nfy010d7m"
321823,"broccoli, yes, niacin - nfy010d7n"
321824,"broccoli, yes, pantothenic acid - nfy010d7s"
321825,"broccoli, yes, vitamin b6 - nfy010d7t"
321826,"broccoli, yes, folate - nfy010d7u"
321827,"broccoli, yes, vitamin k - nfy010d7v"
321828,"broccoli, yes, vitamin e - nfy010d7w"
321829,"broccoli, steamed, pure compositehj"
321831,"broccoli, steamed, yes"
321845,"broccoli, pure compositeh3"
321846,broccolid0e
321847,broccolid0g
321848,broccolid0h
321849,"broccoli, ny/nj1d0f"
321850,"broccoli, yes, minerals - nfy010cva"
321851,"broccoli, yes, sugar - nfy010cvb"
321852,"broccoli, yes, vitamin c - nfy010cvf"
321853,"broccoli, yes, thiamin - nfy010cvg"
321854,"broccoli, yes, riboflavin - nfy010cvh"
321855,"broccoli, yes, niacin - nfy010cvi"
321856,"broccoli, yes, pantothenic acid - nfy010cvn"
321857,"broccoli, yes, vitamin b6 - nfy010cvo"
321858,"broccoli, yes, folate - nfy010cvp"
321859,"broccoli, yes, amino acids - nfy010cvq"
321860,"broccoli, yes, vitamin k - nfy010cvw"
321861,"broccoli, yes, vitamin e - nfy010cvx"
321862,"broccoli, yes, proximates - nfy010cv8"
321863,"broccoli, steamed, pure compositeh4"
321880,"broccoli, pure compositehi"
321881,broccolidcy
321882,broccolidcz
321883,broccolidd0
321884,broccolidd1
321885,broccolidd2
321886,broccolidd3
321887,broccolidd4
321889,"broccoli, yes, proximates - nfy010d84"
321890,"broccoli, yes, minerals - nfy010d86"
321891,"broccoli, yes, sugar - nfy010d87"
321892,"broccoli, yes, vitamin c - nfy010d8b"
321893,"broccoli, yes, thiamin - nfy010d8c"
321894,"broccoli, yes, riboflavin - nfy010d8d"
321895,"broccoli, yes, niacin - nfy010d8e"
321896,"broccoli, yes, pantothenic acid - nfy010d8j"
321897,"broccoli, yes, vitamin b6 - nfy010d8k"
321898,"broccoli, yes, folate - nfy010d8l"
321899,"broccoli, yes, vitamin k - nfy010d8m"
321900,"broccoli, raw"
321901,"milk, 1%(wave 22e)"
321902,"milk, 1% (wave 22e)"
321903,"milk, 1%"
322022,"milk, skim"
322041,"milk, skim (wave 22e)"
322228,"milk, lowfat, fluid"
322559,"milk, nonfat, fluid"
322560,"milk, whole (wave 22e)"
322562,"milk, whole"
322892,"milk, whole, 3.25% milkfat"
322893,"hot dogs, beef, ball park angus"
322896,hot dogs beef
322898,"hot dogs, beef - nfy1211da"
322909,"hot dogs, beef - nfy1211dz"
322919,"hot dogs, beef - nfy1211ck"
322927,"hot dogs, beef - nfy1211df"
322934,"hot dogs, beef - nfy1211dn"
322935,"hot dogs, beef - nfy1211do"
322936,"hot dogs, beef - nfy1211dp"
322944,"hot dogs, beef - nfy1211c1"
322952,"hot dogs, beef - nfy1211c9"
322953,"hot dogs, beef - nfy1211ca"
322954,"hot dogs, beef - nfy1211cb"
322955,"hot dogs, beef, oscar mayer premium jumbo"
322964,"hot dogs, beef - nfy1211f6"
322971,"hot dogs, beef - nfy1211fu"
322979,"hot dogs, beef - nfy1211cp"
322980,"hot dogs, beef - nfy1211cq"
322988,"hot dogs, beef - nfy1211cz"
322989,"hot dogs, beef - nfy1211d0"
322990,"hot dogs, beef - nfy1211d1"
322991,"hot dogs, beef - nfy1211cy"
322999,"hot dogs, beef - nfy1211e4"
323007,"hot dogs, beef - nfy1211ed"
