id,fdc_id,nutrient_id,amount
2220880,321776,1093,25.0
2220942,321790,1004,0.3
2220940,321790,1051,91.9
2220954,321793,1004,0.29
2220952,321793,1051,91.8
2220962,321794,1093,32.0
2221029,321809,1051,91.8
2221031,321809,1004,0.45
2221034,321817,1051,91.2
2221033,321817,1004,0.31
2221043,321818,1093,32.0
2221076,321831,1051,90.8
2221075,321831,1004,0.43
2221085,321832,1093,62.0
2221120,321850,1093,51.0
2221163,321862,1004,0.23
2221164,321862,1051,90.4
2221174,321865,1004,0.35
2221175,321865,1051,90.4
2221184,321866,1093,42.0
2221238,321889,1004,0.41
2221239,321889,1051,90.4
2221248,321890,1093,39.0
2221300,321900,1051,90.0
2221316,321900,1003,2.57
2221296,321900,1004,0.34
2221324,321900,1093,36.0
2221278,321900,1005,6.29
2221373,321903,1051,89.8
2221372,321903,1004,1.07
2221381,321909,1004,1.02
2221382,321909,1051,90.0
2221391,321915,1051,89.7
2221390,321915,1004,0.92
2221476,321924,1051,88.0
2221475,321924,1004,0.93
2221489,321927,1093,48.0
2221585,321944,1051,89.9
2221584,321944,1004,0.94
2221598,321947,1093,37.0
2221692,321963,1004,1.19
2221693,321963,1051,90.0
2221706,321966,1093,37.0
2221800,321982,1004,0.92
2221801,321982,1051,91.8
2221841,321988,1093,44.0
2221937,322005,1051,90.0
2221936,322005,1004,1.0
2221950,322008,1093,39.0
2222045,322024,1051,89.9
2222044,322024,1004,1.12
2222085,322030,1093,38.0
2222091,322035,1004,1.14
2222106,322045,1051,88.2
2222105,322045,1004,0.94
2222114,322051,1004,0.87
2222115,322051,1051,86.9
2222124,322057,1051,90.3
2222123,322057,1004,0.72
2222133,322063,1051,89.9
2222132,322063,1004,0.94
2222142,322069,1051,90.2
2222141,322069,1004,0.98
2222150,322075,1004,0.85
2222151,322075,1051,90.1
2222159,322081,1004,0.92
2222160,322081,1051,90.2
2222243,322089,1004,1.07
2222244,322089,1051,89.7
2222257,322092,1093,38.0
2222352,322109,1004,0.87
2222353,322109,1051,88.9
2222393,322115,1093,37.0
2222488,322132,1004,0.84
2222489,322132,1051,90.6
2222529,322138,1093,39.0
2222623,322154,1004,0.89
2222624,322154,1051,89.9
2222664,322160,1093,38.0
2222684,322175,1004,0.91
2222685,322175,1051,89.4
2222721,322184,1051,88.7
2222720,322184,1004,0.96
2222805,322192,1051,90.6
2222804,322192,1004,0.87
2222818,322195,1093,36.0
2222913,322211,1051,89.9
2222912,322211,1004,1.01
2222926,322214,1093,38.0
2222931,322218,1004,1.04
2222953,322228,1003,3.38
2222961,322228,1051,89.7
2222962,322228,1004,0.95
2222950,322228,1093,39.0
2222980,322228,1005,5.19
2223105,322231,1051,90.3
2223104,322231,1004,0.06
2223115,322238,1051,90.8
2223114,322238,1004,0.08
2223125,322245,1051,90.6
2223124,322245,1004,0.03
2223208,322253,1004,0.09
2223209,322253,1051,91.0
2223222,322256,1093,38.0
2223316,322272,1004,0.07
2223317,322272,1051,90.8
2223330,322275,1093,39.0
2223424,322291,1004,0.14
2223425,322291,1051,90.8
2223438,322294,1093,41.0
2223533,322310,1051,91.1
2223532,322310,1004,0.07
2223573,322316,1093,40.0
2223668,322333,1004,0.08
2223669,322333,1051,90.5
2223682,322336,1093,40.0
2223777,322353,1004,0.07
2223778,322353,1051,90.8
2223818,322359,1093,40.0
2223825,322365,1004,0.11
2223839,322375,1004,0.05
2223840,322375,1051,90.8
2223848,322381,1004,0.08
2223849,322381,1051,91.2
2223855,322384,1004,0.11
2223859,322388,1051,90.8
